,stars,url,forks,language,size,subscribers,network,issues,watchers,pulls,commits,private,license
387,21953,https://github.com/zsh-users/zsh-autosuggestions.git,1408,Shell,573,173,1408,119,21953,22,530,False,MIT License
388,21808,https://github.com/PaddlePaddle/PaddleOCR.git,4470,Python,326748,360,4470,1126,21808,87,4909,False,Apache License 2.0
389,21849,https://github.com/android/architecture-components-samples.git,8038,Kotlin,21430,887,8038,174,21849,39,602,False,Apache License 2.0
390,21779,https://github.com/veggiemonk/awesome-docker.git,2584,None,14426,756,2584,1,21779,1,2835,False,Apache License 2.0
391,21735,https://github.com/facebook/flow.git,1842,OCaml,96241,404,1842,2486,21735,112,13585,False,MIT License
392,21784,https://github.com/github/hub.git,2310,Go,7275,534,2310,264,21784,42,3327,False,MIT License
393,21723,https://github.com/Wox-launcher/Wox.git,2322,C#,98055,541,2322,857,21723,11,2749,False,MIT License
394,21716,https://github.com/vapor/vapor.git,1343,Swift,16097,526,1343,99,21716,17,5604,False,MIT License
395,21723,https://github.com/helm/helm.git,6199,Go,18715,525,6199,484,21723,206,6618,False,Apache License 2.0
396,21638,https://github.com/appwrite/appwrite.git,1687,JavaScript,169390,305,1687,323,21638,56,10554,False,"BSD 3-Clause ""New"" or ""Revised"" License"
397,21557,https://github.com/openfaas/faas.git,1764,Go,27570,493,1764,34,21557,5,2046,False,MIT License
398,21653,https://github.com/feathericons/feather.git,1083,JavaScript,16426,268,1083,462,21653,112,639,False,MIT License
399,21420,https://github.com/ehang-io/nps.git,3921,Go,9189,427,3921,315,21420,9,700,False,GNU General Public License v3.0
400,21390,https://github.com/floating-ui/floating-ui.git,1354,TypeScript,19317,253,1354,22,21390,4,1290,False,MIT License
401,21362,https://github.com/mochajs/mocha.git,2945,JavaScript,20866,390,2945,265,21362,36,3582,False,MIT License
402,21316,https://github.com/SwiftyJSON/SwiftyJSON.git,3318,Swift,1112,633,3318,133,21316,22,739,False,MIT License
403,21203,https://github.com/quasarframework/quasar.git,2783,JavaScript,147251,472,2783,441,21203,118,11960,False,MIT License
404,21187,https://github.com/kriasoft/react-starter-kit.git,4110,TypeScript,8778,553,4110,9,21187,3,5,False,MIT License
405,21171,https://github.com/bevacqua/dragula.git,1975,JavaScript,1942,368,1975,153,21171,52,366,False,MIT License
406,21140,https://github.com/httpie/httpie.git,3671,Python,6766,62,3671,103,21140,5,1717,False,"BSD 3-Clause ""New"" or ""Revised"" License"
407,21091,https://github.com/vercel/pkg.git,900,JavaScript,41164,272,900,56,21091,7,1107,False,MIT License
408,21100,https://github.com/bilibili/flv.js.git,3276,JavaScript,1511,623,3276,393,21100,12,431,False,Apache License 2.0
409,21063,https://github.com/eriklindernoren/ML-From-Scratch.git,4146,Python,553,955,4146,45,21063,16,374,False,MIT License
